YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2
2020,2020,OK,Oklahoma,Mental Health,Depression among adults,28.9,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,OH,Ohio,Mental Health,Depression among adults,34.2,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,TN,Tennessee,Mental Health,Depression among adults,16.6,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,RI,Rhode Island,Mental Health,Depression among adults,27.1,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,NC,North Carolina,Mental Health,Depression among adults,26.1,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,OK,Oklahoma,Mental Health,Average mentally unhealthy days among adults,2.9,Number,Crude Mean,Overall,Overall,,Overall
2020,2020,TN,Tennessee,Mental Health,Depression among adults,25.7,%,Crude Prevalence,Age,Age 18-44,,Overall
2020,2020,PR,Puerto Rico,Mental Health,Frequent mental distress among adults,9.0,%,Crude Prevalence,Sex,Male,,Overall
2020,2020,TN,Tennessee,Mental Health,Depression among adults,26.1,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,NC,North Carolina,Mental Health,Average mentally unhealthy days among adults,2.6,Number,Age-adjusted Mean,Sex,Male,,Overall
2020,2020,OR,Oregon,Mental Health,Depression among adults,15.6,%,Age-adjusted Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,NC,North Carolina,Mental Health,Depression among adults,31.1,%,Crude Prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,NY,New York,Mental Health,Average mentally unhealthy days among adults,2.6,Number,Crude Mean,Overall,Overall,,Overall
2020,2020,NC,North Carolina,Mental Health,Average mentally unhealthy days among adults,1.8,Number,Crude Mean,Age,Age >=65,,Overall
2020,2020,PR,Puerto Rico,Mental Health,Depression among adults,22.9,%,Crude Prevalence,Age,Age 45-64,,Overall
2020,2020,RI,Rhode Island,Mental Health,Frequent mental distress among adults,27.9,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,NY,New York,Mental Health,Average mentally unhealthy days among adults,1.7,Number,Crude Mean,Race/Ethnicity,Hispanic,,Overall
2020,2020,OH,Ohio,Mental Health,Frequent mental distress among adults,18.5,%,Crude Prevalence,Sex,Female,,Overall
2021,2021,AL,Alabama,Mental Health,Average mentally unhealthy days among adults,2.4,Number,Age-adjusted Mean,Overall,Overall,,Overall
2020,2020,VA,Virginia,Mental Health,Frequent mental distress among adults,15.7,%,Age-adjusted Prevalence,Sex,Female,,Overall
2020,2020,WY,Wyoming,Mental Health,Frequent mental distress among adults,31.2,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,VT,Vermont,Mental Health,Depression among adults,23.7,%,Crude Prevalence,Age,Age 45-64,,Overall
2020,2020,WY,Wyoming,Mental Health,Frequent mental distress among adults,11.8,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,VT,Vermont,Mental Health,Frequent mental distress among adults,11.5,%,Age-adjusted Prevalence,Sex,Male,,Overall
2020,2020,VA,Virginia,Mental Health,Frequent mental distress among adults,13.8,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,TX,Texas,Mental Health,Frequent mental distress among adults,13.4,%,Age-adjusted Prevalence,Overall,Overall,,Overall
2020,2020,WV,West Virginia,Mental Health,Frequent mental distress among adults,18.6,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WI,Wisconsin,Mental Health,Depression among adults,33.8,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,UT,Utah,Mental Health,Depression among adults,24.6,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,VT,Vermont,Mental Health,Depression among adults,28.5,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,WI,Wisconsin,Mental Health,Postpartum depressive symptoms among women with a recent live birth,18.6,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
